Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
cntTestCashRegister,blocks,Block,,x,,Test Cash Register,Only used for testing perks and buffs,,,,,,,,,,,,
flagThick44Desc,blocks,Block,,x,,A tribute to Thick44 The Human Man Warrior,,,Un tributo a Thick44 El Guerrero Hombre Humano,,,,,,,,,,
pictureRobertDishongPlaque,blocks,Block,,x,,Robert Dishong Memorial,,,Tributo a Robert Dishong,,,,,,,,,,
pictureRobertDishongPlaqueDesc,blocks,Block,,x,,R.I.P. Kinyajuu,,,Q.E.P.D. Kinyajuu,,,,,,,,,,
TestCubeA,blocks,Block,,x,,Test Cube A (Block Faces),,,Cubo de pruebas A (caras de bloque),,,,,,,,,,
TestCubeC,blocks,Block,,x,,Test Cube C (Block Faces),,,Cubo de pruebas C (caras de bloque),,,,,,,,,,
TestCubeO,blocks,Block,,x,,Test Cube O (Block Faces),,,Cubo de pruebas O (caras de bloque),,,,,,,,,,
TestCubeP,blocks,Block,,x,,Test Cube P (Block Faces),,,Cubo de pruebas P (caras de bloque),,,,,,,,,,
TestCubeY,blocks,Block,,x,,Test Cube Y (Block Faces),,,Cubo de pruebas Y (caras de bloque),,,,,,,,,,
buffHeadShotsOnlyDesc,buffs,Buff,,x,,Don't you watch any zombie movies? Aim for the head! It's the only way to be sure.,,,,,,,,,,,,,
buffHeadShotsOnlyName,buffs,Buff,,x,,Head Shots Only,,,,,,,,,,,,,
buffHeadShotsOnlyTooltip,buffs,Buff,,x,,Aim for the head!,,,,,,,,,,,,,
buffMeleePreferredDesc,buffs,Buff,,x,,Melee Damage +150%\nRanged Damage 0\nDamage Taken -20%,,,,,,,,,,,,,
buffMeleePreferredName,buffs,Buff,,x,,Melee Preferred,,,,,,,,,,,,,
buffMeleePreferredTooltip,buffs,Buff,,x,,You feel like getting up close and personal!,,,,,,,,,,,,,
buffStatusWoundedName,buffs,Buff,,x,,Low Health,,,Salud baja,,,,,,,,,,
buffStatusWoundedTooltip,buffs,Buff,,x,,Your maximum health is low. Apply first aid to restore it.,,,Tu salud máxima está baja. Aplica primeros auxilios para restaurarla.,,,,,,,,,,
buffWatchYourAimDesc,buffs,Buff,,x,,Block Damage +700,,,,,,,,,,,,,
buffWatchYourAimName,buffs,Buff,,x,,Watch Your Aim,,,,,,,,,,,,,
buffWatchYourAimTooltip,buffs,Buff,,x,,Watch your aim!,,,,,,,,,,,,,
demoTimerStart,buffs,Buff,,x,,Demo Timer,Will only be used for Twitch Con Vegas 2023,,,,,,,,,,,,
demoTimerStartDesc,buffs,Buff,,x,,Welcome to the 7 Days to Die Console Demo!,Will only be used for Twitch Con Vegas 2023,,,,,,,,,,,,
challenge_reward_10000xp,Challenges,Rewards,,x,,10000 XP,,,,,,,,,,,,,
challenge_reward_1000xp,Challenges,Rewards,,x,,1000 XP,,,,,,,,,,,,,
challenge_reward_100xp,Challenges,Rewards,,x,,100 XP,,,,,,,,,,,,,
challenge_reward_2000xp,Challenges,Rewards,,x,,2000 XP,,,,,,,,,,,,,
challenge_reward_2500xp,Challenges,Rewards,,x,,2500 XP,,,,,,,,,,,,,
challenge_reward_5000xp,Challenges,Rewards,,x,,5000 XP,,,,,,,,,,,,,
challenge_reward_500xp,Challenges,Rewards,,x,,500 XP,,,,,,,,,,,,,
discordPresenceDetailsAtHome,Discord,UI,x,x,x,At home,"Width should stay below about the width of ""Connecting to a server 123456""",,En Casa,,,,,,,,,,
discordPresenceDetailsBloodMoon,Discord,UI,x,x,x,Blood Moon,"Width should stay below about the width of ""Connecting to a server 123456""",,Luna de Sangre,,,,,,,,,,
discordPresenceDetailsConnectingToServer,Discord,UI,x,x,x,Connecting to a server,"Width should stay below about the width of ""Connecting to a server 123456""",,Conectando al servidor,,,,,,,,,,
discordPresenceDetailsExploring,Discord,UI,x,x,x,Exploring,"Width should stay below about the width of ""Connecting to a server 123456""",,Explorando,,,,,,,,,,
discordPresenceDetailsInMenu,Discord,UI,x,x,x,Main Menu,"Width should stay below about the width of ""Connecting to a server 123456""",,Menú Principal,,,,,,,,,,
discordPresenceDetailsPoiEditor,Discord,UI,x,x,x,POI Editor,"Width should stay below about the width of ""Connecting to a server 123456""",,Editor de PDI,,,,,,,,,,
discordPresenceDetailsQuesting,Discord,UI,x,x,x,{0} quest,"Argument 0 is replaced with the quest name (like ""Tier 2 Fetch""). Width should stay below about the width of ""Connecting to a server 123456""",,Misión de {0},,,,,,,,,,
discordPresenceDetailsStartingGame,Discord,UI,x,x,x,Starting a game,"Width should stay below about the width of ""Connecting to a server 123456""",,Iniciando un juego,,,,,,,,,,
discordPresenceDetailsTwitchIntegration,Discord,UI,x,x,x,Twitch Integration,"Width should stay below about the width of ""Connecting to a server 123456""",,Integración de Twitch,,,,,,,,,,
discordPresenceDetailsWorldEditor,Discord,UI,x,x,x,World Editor,"Width should stay below about the width of ""Connecting to a server 123456""",,Editor de Mundo,,,,,,,,,,
discordPresenceStateInParty,Discord,UI,x,x,x,In a party of {0},"Argument is replaced with the number of people in the party. Width should stay below about the width of ""In a party of 12345""",,En grupo con {0},,,,,,,,,,
discordPresenceStateSolo,Discord,UI,x,x,x,Solo,"Width should stay below about the width of ""In a party of 12345""",,Solo,,,,,,,,,,
modMeleeGunToolDecapitizer,item_modifiers,mod,,x,,The Decapitizer,,,,,,,,,,,,,
modMeleeGunToolDecapitizerDesc,item_modifiers,mod,,x,,"You weren't really using that limb anyway, did ya?",,,,,,,,,,,,,
modVehicleMegaDesc,item_modifiers,Mod,,x,,Megaliciously adds mega stuff.,,,Agrega megacosas a lo grande.,,,,,,,,,,
armorClothHatDemo,items,Clothes,,x,,Padded Hood - Console Demo Version,Will only be used for Twitch Con Vegas 2023,,,,,,,,,,,,
resourceSteelPolish,items,Item,,x,,Reinforced Steel Upgrade (deprecated),,,Reinforced Steel Upgrade (deprecated),,,,,,,,,,
sunblocker,items,Medical,,x,,Sunblocker,,,Protector solar,,,,,,,,,,
sunblockerDesc,items,Medical,,x,,It rubs the lotion on it's skin. It does this whenever it's told.,,,Frota la loción sobre la piel. Lo hace cuando se le pide.,,,,,,,,,,
meleeWpnBatonT3PlasmaBaton,items,Melee,,x,,Plasma Baton,,,Porra de Plasma,,,,,,,,,,
meleeWpnBatonT3PlasmaBatonDesc,items,Melee,,x,,This high tech gadget made from junk can shred through metal and has a chance to dismember with each charged hit.,,,Este aparato de alta tecnología hecho con chatarra puede destrozar metal y tiene la posibilidad de desmembrar con cada golpe cargado.,,,,,,,,,,
meleeWpnBatonT3PlasmaBatonSchematic,items,Melee,,x,,Plasma Baton Schematic,,,Esquema de Porra de Plasma,,,,,,,,,,
gunAssemblyTip,Journal Tip,,,x,,To assemble a Gun or Motorized Tool or upgrade it with better parts you must have all the parts in your inventory and have read the schematic. Build it by selecting the part in your inventory and clicking on the “Assemble” action. These recipes will not appear in Crafting menus.,,,"Para ensamblar un arma o una herramienta motorizada, o mejorarlo con partes, debes tener todas las piezas en tu inventario y haber leído el esquema. Constrúyelo seleccionando la pieza en tu inventario y haciendo clic en la acción ""Ensamblar"". Estas instrucciones no aparecerán en los menús de fabricación.",,,,,,,,,,
gunAssemblyTip_title,Journal Tip,,,x,,Item Assembly,,,Ensamblado de objeto,,,,,,,,,,
tableSawTip,Journal Tip,,,x,,Use the table saw to unlock and craft a multitude of cosmetic recipes to customize and decorate your base.,unused,,Usa la sierra de mesa para desbloquear y fabricar gran variedad de recetas cosméticas para personalizar y decorar tu base.,,,,,,,,,,
tableSawTip_title,Journal Tip,,,x,,Table Saw,unused,,Sierra de mesa,,,,,,,,,,
aaa_armor_testing,POI,POIName,,x,x,Armor Testing,,,,,,,,,,,,,
aaa_trigger_test,POI,POIName,,x,x,Trigger Test,,,,,,,,,,,,,
abandoned_house_01,POI,POIName,,x,x,The MeMaw Residence,,,,,,,,,,,,,
abandoned_house_02,POI,POIName,,x,x,Jack & Sally's Getaway,,,,,,,,,,,,,
abandoned_house_03,POI,POIName,,x,x,Luke's Vacation Rental,,,,,,,,,,,,,
abandoned_house_04,POI,POIName,,x,x,The Mimzy Residence,,,,,,,,,,,,,
abandoned_house_05,POI,POIName,,x,x,The Papaw Residence,,,,,,,,,,,,,
abandoned_house_06,POI,POIName,,x,x,Sal's Safehouse,,,,,,,,,,,,,
abandoned_house_07,POI,POIName,,x,x,The Clement Residence,,,,,,,,,,,,,
abandoned_house_08,POI,POIName,,x,x,The Rupert Residence,,,,,,,,,,,,,
abandoned_house_09,POI,POIName,,x,x,The Dickens Retreat,,,,,,,,,,,,,
abandoned_house_10,POI,POIName,,x,x,K. Reeves Place,,,,,,,,,,,,,
apartments_01,POI,POIName,,x,x,Good Life Apartments,,,,,,,,,,,,,
apartments_02,POI,POIName,,x,x,Vanity Tower,,,,,,,,,,,,,
apartments_03,POI,POIName,,x,x,The Bend Apartments,,,,,,,,,,,,,
apartments_04,POI,POIName,,x,x,The Budget Burrows,,,,,,,,,,,,,
apartments_05,POI,POIName,,x,x,Slummit Apartments,,,,,,,,,,,,,
apartments_06,POI,POIName,,x,x,Two Bit Tower,,,,,,,,,,,,,
army_camp_01,POI,POIName,,x,x,Fort Camo,,,,,,,,,,,,,
army_camp_02,POI,POIName,,x,x,Fort Bags,,,,,,,,,,,,,
army_camp_03,POI,POIName,,x,x,Fort Quonset,,,,,,,,,,,,,
army_camp_04,POI,POIName,,x,x,Fort Razor,,,,,,,,,,,,,
army_camp_05,POI,POIName,,x,x,Fort Choppa,,,,,,,,,,,,,
army_camp_06,POI,POIName,,x,x,Goldrush Station,,,,,,,,,,,,,
army_camp_07,POI,POIName,,x,x,Installation Blue Ridge,,,,,,,,,,,,,
army_camp_08,POI,POIName,,x,x,Forward Supply Depot,,,,,,,,,,,,,
army_camp_09,POI,POIName,,x,x,Camp Hollow Point,,,,,,,,,,,,,
army_camp_10,POI,POIName,,x,x,Green Hill,,,,,,,,,,,,,
auto_mechanic_01,POI,POIName,,x,x,A1 Auto,,,,,,,,,,,,,
bank_01,POI,POIName,,x,x,The Piggy Bank,,,,,,,,,,,,,
bank_02,POI,POIName,,x,x,Seemore Bank,,,,,,,,,,,,,
bar_01,POI,POIName,,x,x,Buzz's Bar,,,,,,,,,,,,,
bar_02,POI,POIName,,x,x,Silver Spurs Corral,,,,,,,,,,,,,
bar_03,POI,POIName,,x,x,Prickly Dan's Cactus Bar,,,,,,,,,,,,,
bar_04,POI,POIName,,x,x,Longhorn Lounge,,,,,,,,,,,,,
bar_06,POI,POIName,,x,x,Stagecoach Saloon,,,,,,,,,,,,,
barn_01,POI,POIName,,x,x,Hay Dude Fields,,,,,,,,,,,,,
barn_02,POI,POIName,,x,x,Mason's Barn,,,,,,,,,,,,,
barn_03,POI,POIName,,x,x,Boar Barn Fields,,,,,,,,,,,,,
base_military_01,POI,POIName,,x,x,U.S. Army Post #7,,,,,,,,,,,,,
base_survivor_02,POI,POIName,,x,x,The Rejekts Gang Outpost,,,,,,,,,,,,,
base_survivor_03,POI,POIName,,x,x,Quiet Pines Community,,,,,,,,,,,,,
body_shop_01,POI,POIName,,x,x,Collision Center,,,,,,,,,,,,,
bombshelter_01,POI,POIName,,x,x,Bart's Salvage,,,,,,,,,,,,,
bombshelter_02,POI,POIName,,x,x,Hexagon Hideaway,,,,,,,,,,,,,
bombshelter_03,POI,POIName,,x,x,The Cylinder,,,,,,,,,,,,,
bombshelter_04,POI,POIName,,x,x,Bomb Shelter 41,,,,,,,,,,,,,
bombshelter_05,POI,POIName,,x,x,Bunker Buildsite #5,,,,,,,,,,,,,
bombshelter_06,POI,POIName,,x,x,Best Pals Shelter,,,,,,,,,,,,,
bombshelter_07,POI,POIName,,x,x,Navezgane Civil Defense Shelter,,,,,,,,,,,,,
bombshelter_08,POI,POIName,,x,x,Tracey Family Shelter,,,,,,,,,,,,,
bombshelter_09,POI,POIName,,x,x,Duck Station,,,,,,,,,,,,,
bombshelter_10,POI,POIName,,x,x,Blue Sky Project,,,,,,,,,,,,,
bombshelter_11,POI,POIName,,x,x,USA #1 Type Bunker,,,,,,,,,,,,,
bowling_alley_01,POI,POIName,,x,x,Pineballs Bowling,,,,,,,,,,,,,
bowling_alley_02,POI,POIName,,x,x,Ballzstrike Bowling,,,,,,,,,,,,,
bunker_00,POI,POIName,,x,x,Area 7,,,,,,,,,,,,,
business_burnt_01,POI,POIName,,x,x,O'malley Oats,,,,,,,,,,,,,
business_burnt_02,POI,POIName,,x,x,Navezgane Creamery,,,,,,,,,,,,,
business_ultramodern_06,POI,POIName,,x,x,Aeon Amp Lounge,,,,,,,,,,,,,
business_ultramodern_10,POI,POIName,,x,x,Lumen Row,,,,,,,,,,,,,
business_ultramodern_11,POI,POIName,,x,x,Byte and Bean Café,,,,,,,,,,,,,
business_ultramodern_60_04,POI,POIName,,x,x,Aeon Amp Showroom,,,,,,,,,,,,,
cabin_01,POI,POIName,,x,x,Willy's Cabin,,,,,,,,,,,,,
cabin_02,POI,POIName,,x,x,Marvin's Getaway,,,,,,,,,,,,,
cabin_03,POI,POIName,,x,x,The Harrison Residence,,,,,,,,,,,,,
cabin_04,POI,POIName,,x,x,Wilbur's Place,,,,,,,,,,,,,
cabin_05,POI,POIName,,x,x,Shawn's Shack,,,,,,,,,,,,,
cabin_06,POI,POIName,,x,x,Roberts Tack Shack,,,,,,,,,,,,,
cabin_07,POI,POIName,,x,x,The TJ Morales Residence,,,,,,,,,,,,,
cabin_08,POI,POIName,,x,x,Johnson Family Cabin,,,,,,,,,,,,,
cabin_09,POI,POIName,,x,x,Skeeter's Place,,,,,,,,,,,,,
cabin_10,POI,POIName,,x,x,The Knowbly Cabin,,,,,,,,,,,,,
cabin_11,POI,POIName,,x,x,New Life Hope Cabin,,,,,,,,,,,,,
cabin_12,POI,POIName,,x,x,Allistair's Cabin,,,,,,,,,,,,,
cabin_13,POI,POIName,,x,x,The Gladue Residence,,,,,,,,,,,,,
cabin_14,POI,POIName,,x,x,The Burns Cabin,,,,,,,,,,,,,
cabin_15,POI,POIName,,x,x,The Presley Dwellers,,,,,,,,,,,,,
cabin_16,POI,POIName,,x,x,The Broken Axe,,,,,,,,,,,,,
cabin_17,POI,POIName,,x,x,The Engall's Residence,,,,,,,,,,,,,
cabin_18,POI,POIName,,x,x,Our Best Moments,,,,,,,,,,,,,
cabin_20,POI,POIName,,x,x,The Fire Pit Lodge,,,,,,,,,,,,,
